Developer,Release,Commits
Vlad Boisa,19.2.0-rc.0,4
Vlad Boisa,19.2.1,5
Vlad Boisa,19.2.2,8
Vlad Boisa,20.0.0-next.1,5
Vlad Boisa,20.0.0-next.3,9
Vlad Boisa,19.2.0,4
Vlad Boisa,19.1.8,4
Vlad Boisa,20.0.0-next.0,4
Vlad Boisa,20.0.0-next.2,8
Vlad Boisa,19.1.3,3
Vlad Boisa,19.1.6,3
Vlad Boisa,19.1.7,4
Vlad Boisa,19.1.5,3
Vlad Boisa,19.2.0-next.2,3
Vlad Boisa,19.2.0-next.1,3
Vlad Boisa,19.2.0-next.3,3
Vlad Boisa,19.1.4,3
Vlad Boisa,19.2.0-next.0,3
Vlad Boisa,19.1.2,3
Doug Parker,19.2.3,136
Doug Parker,19.2.0-rc.0,127
Doug Parker,19.2.1,129
Doug Parker,19.2.2,135
Doug Parker,20.0.0-next.1,129
Doug Parker,20.0.0-next.3,139
Doug Parker,19.2.0,127
Doug Parker,19.1.8,127
Doug Parker,20.0.0-next.0,127
Doug Parker,20.0.0-next.2,137
Doug Parker,19.1.3,107
Doug Parker,19.1.6,109
Doug Parker,19.1.7,113
Doug Parker,19.1.5,109
Doug Parker,19.2.0-next.2,109
Doug Parker,19.2.0-next.1,107
Doug Parker,19.2.0-next.3,111
Doug Parker,19.1.4,109
Doug Parker,19.2.0-next.0,113
Doug Parker,19.1.2,107
Angular Robot,19.2.3,612
Angular Robot,19.2.0-rc.0,601
Angular Robot,19.2.1,606
Angular Robot,19.2.2,609
Angular Robot,20.0.0-next.1,608
Angular Robot,20.0.0-next.3,622
Angular Robot,19.2.0,604
Angular Robot,19.1.8,597
Angular Robot,20.0.0-next.0,604
Angular Robot,20.0.0-next.2,613
Angular Robot,19.1.3,582
Angular Robot,19.1.6,589
Angular Robot,19.1.7,594
Angular Robot,19.1.5,587
Angular Robot,19.2.0-next.2,589
Angular Robot,19.2.0-next.1,587
Angular Robot,19.2.0-next.3,593
Angular Robot,19.1.4,585
Angular Robot,19.2.0-next.0,583
Angular Robot,19.1.2,581
William Mba,19.2.3,1
William Mba,20.0.0-next.3,1
Rahat Ahmed,19.2.3,7
Rahat Ahmed,19.2.0-rc.0,6
Rahat Ahmed,19.2.1,6
Rahat Ahmed,19.2.2,6
Rahat Ahmed,20.0.0-next.1,6
Rahat Ahmed,20.0.0-next.3,7
Rahat Ahmed,19.2.0,6
Rahat Ahmed,19.1.8,6
Rahat Ahmed,20.0.0-next.0,6
Rahat Ahmed,20.0.0-next.2,6
Rahat Ahmed,19.1.3,6
Rahat Ahmed,19.1.6,6
Rahat Ahmed,19.1.7,6
Rahat Ahmed,19.1.5,6
Rahat Ahmed,19.2.0-next.2,6
Rahat Ahmed,19.2.0-next.1,6
Rahat Ahmed,19.2.0-next.3,6
Rahat Ahmed,19.1.4,6
Rahat Ahmed,19.2.0-next.0,6
Rahat Ahmed,19.1.2,6
Andrew Scott,19.2.3,922
Andrew Scott,19.2.0-rc.0,908
Andrew Scott,19.2.1,915
Andrew Scott,19.2.2,920
Andrew Scott,20.0.0-next.1,923
Andrew Scott,20.0.0-next.3,936
Andrew Scott,19.2.0,910
Andrew Scott,19.1.8,910
Andrew Scott,20.0.0-next.0,915
Andrew Scott,20.0.0-next.2,933
Andrew Scott,19.1.3,819
Andrew Scott,19.1.6,822
Andrew Scott,19.1.7,803
Andrew Scott,19.1.5,808
Andrew Scott,19.2.0-next.2,821
Andrew Scott,19.2.0-next.1,786
Andrew Scott,19.2.0-next.3,798
Andrew Scott,19.1.4,819
Andrew Scott,19.2.0-next.0,840
Andrew Scott,19.1.2,826
Denis Bendrikov,19.2.3,2
Denis Bendrikov,19.2.0-rc.0,1
Denis Bendrikov,19.2.1,1
Denis Bendrikov,19.2.2,1
Denis Bendrikov,20.0.0-next.1,1
Denis Bendrikov,20.0.0-next.3,2
Denis Bendrikov,19.2.0,1
Denis Bendrikov,19.1.8,1
Denis Bendrikov,20.0.0-next.0,1
Denis Bendrikov,20.0.0-next.2,1
Denis Bendrikov,19.1.3,1
Denis Bendrikov,19.1.6,1
Denis Bendrikov,19.1.7,1
Denis Bendrikov,19.1.5,1
Denis Bendrikov,19.2.0-next.2,1
Denis Bendrikov,19.2.0-next.1,1
Denis Bendrikov,19.2.0-next.3,1
Denis Bendrikov,19.1.4,1
Denis Bendrikov,19.2.0-next.0,1
Denis Bendrikov,19.1.2,1
Hyron48,19.2.3,1
Hyron48,20.0.0-next.3,1
Nico Muszalczyk,19.2.3,1
Nico Muszalczyk,20.0.0-next.3,1
Taygan Caldwell,19.2.3,2
Taygan Caldwell,19.2.2,1
Taygan Caldwell,20.0.0-next.3,2
Taygan Caldwell,20.0.0-next.2,1
Andrew Kushnir,19.2.3,902
Andrew Kushnir,19.2.0-rc.0,899
Andrew Kushnir,19.2.1,899
Andrew Kushnir,19.2.2,901
Andrew Kushnir,20.0.0-next.1,899
Andrew Kushnir,20.0.0-next.3,902
Andrew Kushnir,19.2.0,899
Andrew Kushnir,19.1.8,895
Andrew Kushnir,20.0.0-next.0,899
Andrew Kushnir,20.0.0-next.2,901
Andrew Kushnir,19.1.3,624
Andrew Kushnir,19.1.6,624
Andrew Kushnir,19.1.7,615
Andrew Kushnir,19.1.5,620
Andrew Kushnir,19.2.0-next.2,627
Andrew Kushnir,19.2.0-next.1,606
Andrew Kushnir,19.2.0-next.3,618
Andrew Kushnir,19.1.4,624
Andrew Kushnir,19.2.0-next.0,651
Andrew Kushnir,19.1.2,624
Hryhorii (Greg) Avcharov,19.2.3,1
Hryhorii (Greg) Avcharov,20.0.0-next.3,1
arturovt,19.2.3,140
arturovt,19.2.0-rc.0,125
arturovt,19.2.1,134
arturovt,19.2.2,140
arturovt,20.0.0-next.1,135
arturovt,20.0.0-next.3,142
arturovt,19.2.0,129
arturovt,19.1.8,129
arturovt,20.0.0-next.0,129
arturovt,20.0.0-next.2,142
arturovt,19.1.3,92
arturovt,19.1.6,111
arturovt,19.1.7,118
arturovt,19.1.5,111
arturovt,19.2.0-next.2,111
arturovt,19.2.0-next.1,108
arturovt,19.2.0-next.3,113
arturovt,19.1.4,108
arturovt,19.2.0-next.0,92
arturovt,19.1.2,92
AlirezaEbrahimkhani,19.2.3,9
AlirezaEbrahimkhani,19.2.0-rc.0,8
AlirezaEbrahimkhani,19.2.1,8
AlirezaEbrahimkhani,19.2.2,9
AlirezaEbrahimkhani,20.0.0-next.1,8
AlirezaEbrahimkhani,20.0.0-next.3,9
AlirezaEbrahimkhani,19.2.0,8
AlirezaEbrahimkhani,19.1.8,8
AlirezaEbrahimkhani,20.0.0-next.0,8
AlirezaEbrahimkhani,20.0.0-next.2,9
AlirezaEbrahimkhani,19.1.3,8
AlirezaEbrahimkhani,19.1.6,8
AlirezaEbrahimkhani,19.1.7,8
AlirezaEbrahimkhani,19.1.5,8
AlirezaEbrahimkhani,19.2.0-next.2,8
AlirezaEbrahimkhani,19.2.0-next.1,8
AlirezaEbrahimkhani,19.2.0-next.3,8
AlirezaEbrahimkhani,19.1.4,8
AlirezaEbrahimkhani,19.2.0-next.0,8
AlirezaEbrahimkhani,19.1.2,8
Juhmer-Tena,19.2.3,1
Juhmer-Tena,19.2.2,1
Juhmer-Tena,20.0.0-next.3,1
Juhmer-Tena,20.0.0-next.2,1
aparzi,19.2.3,2
aparzi,19.2.0-rc.0,1
aparzi,19.2.1,1
aparzi,19.2.2,2
aparzi,20.0.0-next.1,1
aparzi,20.0.0-next.3,2
aparzi,19.2.0,1
aparzi,19.1.8,1
aparzi,20.0.0-next.0,1
aparzi,20.0.0-next.2,2
aparzi,19.1.3,1
aparzi,19.1.6,1
aparzi,19.1.7,1
aparzi,19.1.5,1
aparzi,19.2.0-next.2,1
aparzi,19.2.0-next.1,1
aparzi,19.2.0-next.3,1
aparzi,19.1.4,1
aparzi,19.2.0-next.0,1
aparzi,19.1.2,1
Joey Perrott,19.2.3,862
Joey Perrott,19.2.0-rc.0,859
Joey Perrott,19.2.1,860
Joey Perrott,19.2.2,862
Joey Perrott,20.0.0-next.1,860
Joey Perrott,20.0.0-next.3,862
Joey Perrott,19.2.0,860
Joey Perrott,19.1.8,859
Joey Perrott,20.0.0-next.0,860
Joey Perrott,20.0.0-next.2,862
Joey Perrott,19.1.3,611
Joey Perrott,19.1.6,612
Joey Perrott,19.1.7,575
Joey Perrott,19.1.5,580
Joey Perrott,19.2.0-next.2,606
Joey Perrott,19.2.0-next.1,550
Joey Perrott,19.2.0-next.3,566
Joey Perrott,19.1.4,612
Joey Perrott,19.2.0-next.0,631
Joey Perrott,19.1.2,619
Hryhorii Avcharov,19.2.3,2
Hryhorii Avcharov,19.2.1,1
Hryhorii Avcharov,19.2.2,2
Hryhorii Avcharov,20.0.0-next.1,1
Hryhorii Avcharov,20.0.0-next.3,2
Hryhorii Avcharov,20.0.0-next.2,2
François,19.2.3,1
François,19.2.2,1
François,20.0.0-next.3,1
François,20.0.0-next.2,1
kw,19.2.3,1
kw,19.2.2,1
kw,20.0.0-next.3,1
kw,20.0.0-next.2,1
cexbrayat,19.2.3,147
cexbrayat,19.2.0-rc.0,146
cexbrayat,19.2.1,146
cexbrayat,19.2.2,147
cexbrayat,20.0.0-next.1,146
cexbrayat,20.0.0-next.3,147
cexbrayat,19.2.0,146
cexbrayat,19.1.8,146
cexbrayat,20.0.0-next.0,146
cexbrayat,20.0.0-next.2,147
cexbrayat,19.1.3,71
cexbrayat,19.1.6,71
cexbrayat,19.1.7,71
cexbrayat,19.1.5,71
cexbrayat,19.2.0-next.2,71
cexbrayat,19.2.0-next.1,71
cexbrayat,19.2.0-next.3,71
cexbrayat,19.1.4,71
cexbrayat,19.2.0-next.0,71
cexbrayat,19.1.2,71
iteriani,19.2.3,10
iteriani,19.2.0-rc.0,8
iteriani,19.2.1,9
iteriani,19.2.2,10
iteriani,20.0.0-next.1,9
iteriani,20.0.0-next.3,13
iteriani,19.2.0,8
iteriani,19.1.8,8
iteriani,20.0.0-next.0,8
iteriani,20.0.0-next.2,12
iteriani,19.1.3,7
iteriani,19.1.6,7
iteriani,19.1.7,8
iteriani,19.1.5,7
iteriani,19.2.0-next.2,7
iteriani,19.2.0-next.1,7
iteriani,19.2.0-next.3,7
iteriani,19.1.4,7
iteriani,19.2.0-next.0,7
iteriani,19.1.2,7
AleksanderBodurri,19.2.3,311
AleksanderBodurri,19.2.0-rc.0,310
AleksanderBodurri,19.2.1,310
AleksanderBodurri,19.2.2,311
AleksanderBodurri,20.0.0-next.1,311
AleksanderBodurri,20.0.0-next.3,312
AleksanderBodurri,19.2.0,310
AleksanderBodurri,19.1.8,310
AleksanderBodurri,20.0.0-next.0,310
AleksanderBodurri,20.0.0-next.2,312
AleksanderBodurri,19.1.3,155
AleksanderBodurri,19.1.6,156
AleksanderBodurri,19.1.7,154
AleksanderBodurri,19.1.5,153
AleksanderBodurri,19.2.0-next.2,155
AleksanderBodurri,19.2.0-next.1,152
AleksanderBodurri,19.2.0-next.3,154
AleksanderBodurri,19.1.4,155
AleksanderBodurri,19.2.0-next.0,162
AleksanderBodurri,19.1.2,155
Miles Malerba,19.2.3,128
Miles Malerba,19.2.0-rc.0,124
Miles Malerba,19.2.1,128
Miles Malerba,19.2.2,128
Miles Malerba,20.0.0-next.1,139
Miles Malerba,20.0.0-next.3,142
Miles Malerba,19.2.0,126
Miles Malerba,19.1.8,121
Miles Malerba,20.0.0-next.0,128
Miles Malerba,20.0.0-next.2,141
Miles Malerba,19.1.3,120
Miles Malerba,19.1.6,120
Miles Malerba,19.1.7,121
Miles Malerba,19.1.5,120
Miles Malerba,19.2.0-next.2,121
Miles Malerba,19.2.0-next.1,120
Miles Malerba,19.2.0-next.3,123
Miles Malerba,19.1.4,120
Miles Malerba,19.2.0-next.0,120
Miles Malerba,19.1.2,120
Jeevan Mahesha,19.2.3,12
Jeevan Mahesha,19.2.0-rc.0,9
Jeevan Mahesha,19.2.1,12
Jeevan Mahesha,19.2.2,12
Jeevan Mahesha,20.0.0-next.1,12
Jeevan Mahesha,20.0.0-next.3,12
Jeevan Mahesha,19.2.0,9
Jeevan Mahesha,19.1.8,9
Jeevan Mahesha,20.0.0-next.0,9
Jeevan Mahesha,20.0.0-next.2,12
Jeevan Mahesha,19.1.3,8
Jeevan Mahesha,19.1.6,9
Jeevan Mahesha,19.1.7,9
Jeevan Mahesha,19.1.5,9
Jeevan Mahesha,19.2.0-next.2,9
Jeevan Mahesha,19.2.0-next.1,8
Jeevan Mahesha,19.2.0-next.3,9
Jeevan Mahesha,19.1.4,8
Jeevan Mahesha,19.2.0-next.0,8
Jeevan Mahesha,19.1.2,8
Mithilesh Zavar,19.2.3,1
Mithilesh Zavar,19.2.1,1
Mithilesh Zavar,19.2.2,1
Mithilesh Zavar,20.0.0-next.1,1
Mithilesh Zavar,20.0.0-next.3,1
Mithilesh Zavar,20.0.0-next.2,1
Samuel Perez,19.2.3,2
Samuel Perez,19.2.0-rc.0,1
Samuel Perez,19.2.1,2
Samuel Perez,19.2.2,2
Samuel Perez,20.0.0-next.1,2
